Name Tag Score Industry
"Marathon Petroleum" MPC 57 "OGR Oil & Gas Refining & Marketing"
"Monolithic Power Systems" MPWR 33 "SEM Semiconductors & Semiconductor Equipment"
"Merck & . ." MRK NA NA
Moderna MRNA 52 "BTC Biotechnology"
"Marathon Oil" MRO 41 "OGX Oil & Gas Upstream & Integrated"
"Morgan Stanley" MS 41 "FBN Diversified Financial Services and Capital Markets"
Msci MSCI 46 "FBN Diversified Financial Services and Capital Markets"
Microsoft MSFT 55 "SOF Software"
"Motorola Solutions" MSI 41 "CMT Communications Equipment"
"M & T Bank" MTB NA NA
"Match Group" MTCH 25 "IMS Interactive Media, Services & Home Entertainment"
"Mettler Toledo International" MTD NA NA
"Micron Technology" MU 59 "SEM Semiconductors & Semiconductor Equipment"
"Norwegian Cruise Line Holdin" NCLH 46 "TRT Hotels, Resorts & Cruise Lines"
Nasdaq NDAQ 61 "FBN Diversified Financial Services and Capital Markets"
Nordson NDSN NA NA
"Nextera Energy" NEE NA NA
Newmont NEM 81 "MNX Metals & Mining"
Netflix NFLX 18 "PUB Media, Movies & Entertainment"
Nisource NI 61 "MUW Multi and Water Utilities"
Nike NKE 43 "TEX Textiles, Apparel & Luxury Goods"
"Northrop Grumman" NOC 61 "ARO Aerospace & Defense"
Servicenow NOW 53 "SOF Software"
"Nrg Energy" NRG 34 "ELC Electric Utilities"
"Norfolk Southern" NSC 43 "TRA Transportation and Transportation Infrastructure"
Netapp NTAP 48 "THQ Computers & Peripherals and Office Electronics"
"Northern Trust" NTRS 43 "FBN Diversified Financial Services and Capital Markets"
Nucor NUE 32 "STL Steel"
Nvidia NVDA 60 "SEM Semiconductors & Semiconductor Equipment"
Nvr NVR 19 "HOM Homebuilding"
"Newell Brands" NWL 24 "DHP Household Durables"
"News  Class" NWS NA NA
"News  Class" NWSA NA NA
"Nxp Semiconductors Nv" NXPI NA NA
"Realty Income" O 38 "REI Equity Real Estate Investment Trusts (REITs)"
"Old Dominion Freight Line" ODFL 30 "TRA Transportation and Transportation Infrastructure"
"Organon &" OGN 37 "DRG Pharmaceuticals"
Oneok OKE 58 "PIP Oil & Gas Storage & Transportation"
"Omnicom Group" OMC 37 "PUB Media, Movies & Entertainment"
"On Semiconductor" ON 66 "SEM Semiconductors & Semiconductor Equipment"
Oracle ORCL 46 "SOF Software"
"O Reilly Automotive" ORLY NA NA
"Otis Worldwide" OTIS 44 "IEQ Machinery and Electrical Equipment"
"Occidental Petroleum" OXY 39 "OGX Oil & Gas Upstream & Integrated"
"Palo Alto Networks" PANW 53 "SOF Software"
"Paramount Global Class" PARA NA NA
"Paycom Software" PAYC 33 "SOF Software"
Paychex PAYX 37 "PRO Professional Services"
Paccar PCAR 39 "IEQ Machinery and Electrical Equipment"
"P G & E" PCG NA NA
"Healthpeak Properties" PEAK 68 "REI Equity Real Estate Investment Trusts (REITs)"
"Public Service Enterprise Gp" PEG NA NA
Pepsico PEP 49 "BVG Beverages"
Pfizer PFE 46 "DRG Pharmaceuticals"
"Principal Financial Group" PFG 54 "INS Insurance"
"Procter & Gamble" PG NA NA
Progressive PGR 26 "INS Insurance"
"Parker Hannifin" PH NA NA
Pultegroup PHM 38 "HOM Homebuilding"
"Packaging  of America" PKG NA NA
Prologis PLD 56 "REI Equity Real Estate Investment Trusts (REITs)"
"Philip Morris International" PM 85 "TOB Tobacco"
"Pnc Financial Services Group" PNC 34 "BNK Banks"
Pentair PNR 44 "IEQ Machinery and Electrical Equipment"
"Pinnacle West Capital" PNW 44 "ELC Electric Utilities"
Insulet PODD 31 "MTC Health Care Equipment & Supplies"
Pool POOL 47 "RTS Retailing"
"Ppg Industries" PPG NA NA
Ppl PPL NA NA
"Prudential Financial" PRU 42 "INS Insurance"
"Public Storage" PSA 41 "REI Equity Real Estate Investment Trusts (REITs)"
"Phillips 66" PSX 49 "OGR Oil & Gas Refining & Marketing"
Ptc PTC 31 "SOF Software"
"Quanta Services" PWR 34 "CON Construction & Engineering"
"Pioneer Natural Resources" PXD 51 "OGX Oil & Gas Upstream & Integrated"
"Paypal Holdings" PYPL 60 "FBN Diversified Financial Services and Capital Markets"
Qualcomm QCOM 60 "SEM Semiconductors & Semiconductor Equipment"
Qorvo QRVO 35 "SEM Semiconductors & Semiconductor Equipment"
"Royal Caribbean Cruises" RCL 46 "TRT Hotels, Resorts & Cruise Lines"
"Regency Centers" REG 48 "REI Equity Real Estate Investment Trusts (REITs)"
"Regeneron Pharmaceuticals" REGN 61 "BTC Biotechnology"
"Regions Financial" RF 43 "BNK Banks"
"Robert Half" RHI 50 "PRO Professional Services"
"Raymond James Financial" RJF 31 "FBN Diversified Financial Services and Capital Markets"
"Ralph Lauren" RL 52 "TEX Textiles, Apparel & Luxury Goods"
Resmed RMD 46 "PUB Media, Movies & Entertainment"
"Rockwell Automation" ROK 41 "ELQ Electrical Components & Equipment"
Rollins ROL 18 "ICS Commercial Services & Supplies"
"Roper Technologies" ROP 31 "SOF Software"
"Ross Stores" ROST 28 "RTS Retailing"
"Republic Services" RSG 62 "ICS Commercial Services & Supplies"
Rtx RTX NA NA
Revvity RVTY 36 "LIF Life Sciences Tools & Services"
"Sba Communications" SBAC 43 "REI Equity Real Estate Investment Trusts (REITs)"
Starbucks SBUX 37 "REX Restaurants & Leisure Facilities"
"Schwab (Charles)" SCHW NA NA
"Solaredge Technologies" SEDG 46 "SEM Semiconductors & Semiconductor Equipment"
"Sealed Air" SEE 40 "CTR Containers & Packaging"
"Sherwin Williams" SHW NA NA
"Jm Smucker" SJM NA NA
Schlumberger SLB 58 "OIE Energy Equipment & Services"
"Snap on" SNA NA NA
Synopsys SNPS 40 "SOF Software"
Southern SO 25 "AIR Airlines"
"Simon Property Group" SPG 36 "REI Equity Real Estate Investment Trusts (REITs)"
"&p Global" SPGI 73 "FBN Diversified Financial Services and Capital Markets"
Sempra SRE 65 "MUW Multi and Water Utilities"
Steris STE 38 "MTC Health Care Equipment & Supplies"
"Steel Dynamics" STLD 32 "STL Steel"
"State Street" STT 51 "FBN Diversified Financial Services and Capital Markets"
"Seagate Technology Holdings" STX 47 "THQ Computers & Peripherals and Office Electronics"
"Constellation Brands" STZ 30 "BVG Beverages"
"Stanley Black & Decker" SWK 58 "IEQ Machinery and Electrical Equipment"
"Skyworks Solutions" SWKS 37 "SEM Semiconductors & Semiconductor Equipment"
"Synchrony Financial" SYF 40 "FBN Diversified Financial Services and Capital Markets"
Stryker SYK 46 "MTC Health Care Equipment & Supplies"
Sysco SYY 39 "FDR Food & Staples Retailing"
At&t T 68 "TLS Telecommunication Services"
"Molson Coors Beverage" TAP 37 "BVG Beverages"
"Transdigm Group" TDG 27 "ARO Aerospace & Defense"
"Teledyne Technologies" TDY NA NA
"Bio Techne" TECH NA NA
"Te Connectivity" TEL 54 "ITC Electronic Equipment, Instruments & Components"
Teradyne TER 34 "SEM Semiconductors & Semiconductor Equipment"
"Truist Financial" TFC 42 "BNK Banks"
Teleflex TFX 41 "MTC Health Care Equipment & Supplies"
Target TGT 47 "FDR Food & Staples Retailing"
"Tjx Companies" TJX 33 "RTS Retailing"
"Thermo Fisher Scientific" TMO 39 "LIF Life Sciences Tools & Services"
"T Mobile Us" TMUS NA NA
Tapestry TPR 37 "TEX Textiles, Apparel & Luxury Goods"
"Targa Resources" TRGP NA NA
Trimble TRMB 38 "ITC Electronic Equipment, Instruments & Components"
"T Rowe Price Group" TROW NA NA
"Travelers Cos" TRV NA NA
"Tractor Supply Company" TSCO 38 "RTS Retailing"
Tesla TSLA 40 "AUT Automobiles"
"Tyson Foods" TSN 43 "FOA Food Products"
"Trane Technologies" TT 72 "BLD Building Products"
"Take Two Interactive Softwre" TTWO NA NA
