lei;rics
529900EISKP7D20UZ372;NA
52990093651SHD7ESX80;NA
353800KOFMRGOXSJ5Z65;8802.T
254900RKH6RY9KCJQH63;VICI.K
300300C1086932000062;601009.SS
959800Q0F0EGK197EM91;NA
549300T64GVCHFJ8L449;CDAY.K
549300L70DML4782RW64;NA
5493004COSQ54937AW41;KBANK.BK
529900HMYO3JY00E0Z57;NA
VVTM7QTMTM782I8PXM66;NA
2138001E2ZEL8AVW7O94;NA
549300XCYNOLGSFEZI77;BTEI.TN
549300FRS682IQ7J9S42;NA
549300RW1TFG4DQEYB75;NA
529900JZC6M4CW33OD89;NA
300300C1056131000011;NA
253400VWDGA1977ZTQ68;QIWI.O
549300LI58A0MHGHTZ98;FLY^H21
529900D6BF99LW9R2E68;SAPG.DE
2138005GUMKABRAKJU30;NA
549300H3FAOQOHU5J224;NA
549300NW0SB5VCIFVZ48;NA
213800IBT39XQ9C4CP71;NWB_pa.L
YZO9YEGEO4VYDZMDWF93;MZTF.TA
213800VZL2QT3Q7NOP46;NA
724500X1EIV52K3XNO30;NA
549300OQWQH2BF1NNM30;NA
549300D366WPHJ4OJ240;NA
Z4TM9IUZR644E7BFXU45;DHCPQ.PK^J19
549300DDPTTIZ06NIV06;ITAUCORP.SN
213800J7TL6UAJD4PH05;TAKA.BH
529900QQ49ZWG1OW7W89;NA
549300BO9IWPF3S48F93;COTY.K
TGC6XBYCUTZ0VPC4SF64;DQUEK.PK^D15
959800Y8LQ5MR2YZ4N96;EDRE.MC
WUURD1P1N0874ONXXO03;WPZ^H18
549300YP3P0JZBLIV197;NA
YSNZLTNDXKLPB9QGOZ10;NA
254900EZVEZ2H0CZ0E75;NA
529900KA1X3855ZIY689;NA
GVEOGCYL1XRMQCQ1IG68;NA
QQTTPMZD0WKQL0H5S472;IPL.TO^K21
635400FKVNLQCZA8IE95;NA
549300RUPF4SKMJPUR70;NA
3003000HNK4V5THAMP57;NA
213800Z6ZVP4TNER8851;NA
549300TM914CSF6KI389;COFB.BR
5299002TRC7IFQYSW596;TGSU2.BA
3HG2WD2W22M120IUNG49;CVCHO.PK^A05
